SOURCE_ID	RA_J2000 [deg]	Dec_J2000 [deg]	Flux_140_MHz [Jy]	Flux_140.2_MHz [Jy]	Flux_140.4_MHz [Jy]	Flux_140.6_MHz [Jy]	Flux_140.8_MHz [Jy]	Flux_141_MHz [Jy]	Flux_141.2_MHz [Jy]	Flux_141.4_MHz [Jy]	Flux_141.6_MHz [Jy]	Flux_141.8_MHz [Jy]	Flux_142_MHz [Jy]	Flux_142.2_MHz [Jy]	Flux_142.4_MHz [Jy]	Flux_142.6_MHz [Jy]	Flux_142.8_MHz [Jy]	Flux_143_MHz [Jy]	Flux_143.2_MHz [Jy]	Flux_143.4_MHz [Jy]	Flux_143.6_MHz [Jy]	Flux_143.8_MHz [Jy]	Flux_144_MHz [Jy]	Flux_144.2_MHz [Jy]	Flux_144.4_MHz [Jy]	Flux_144.6_MHz [Jy]	Flux_144.8_MHz [Jy]	Flux_145_MHz [Jy]	Flux_145.2_MHz [Jy]	Flux_145.4_MHz [Jy]	Flux_145.6_MHz [Jy]	Flux_145.8_MHz [Jy]	Flux_146_MHz [Jy]	Flux_146.2_MHz [Jy]	Flux_146.4_MHz [Jy]	Flux_146.6_MHz [Jy]	Flux_146.8_MHz [Jy]	Flux_147_MHz [Jy]	Flux_147.2_MHz [Jy]	Flux_147.4_MHz [Jy]	Flux_147.6_MHz [Jy]	Flux_147.8_MHz [Jy]	Flux_148_MHz [Jy]	Flux_148.2_MHz [Jy]	Flux_148.4_MHz [Jy]	Flux_148.6_MHz [Jy]	Flux_148.8_MHz [Jy]	Flux_149_MHz [Jy]	Flux_149.2_MHz [Jy]	Flux_149.4_MHz [Jy]	Flux_149.6_MHz [Jy]	Flux_149.8_MHz [Jy]	Flux_150_MHz [Jy]	Flux_150.2_MHz [Jy]	Flux_150.4_MHz [Jy]	Flux_150.6_MHz [Jy]	Flux_150.8_MHz [Jy]	Flux_151_MHz [Jy]	Flux_151.2_MHz [Jy]	Flux_151.4_MHz [Jy]	Flux_151.6_MHz [Jy]	Flux_151.8_MHz [Jy]	Flux_152_MHz [Jy]	Flux_152.2_MHz [Jy]	Flux_152.4_MHz [Jy]	Flux_152.6_MHz [Jy]	Flux_152.8_MHz [Jy]	Flux_153_MHz [Jy]	Flux_153.2_MHz [Jy]	Flux_153.4_MHz [Jy]	Flux_153.6_MHz [Jy]	Flux_153.8_MHz [Jy]	Flux_154_MHz [Jy]	Flux_154.2_MHz [Jy]	Flux_154.4_MHz [Jy]	Flux_154.6_MHz [Jy]	Flux_154.8_MHz [Jy]	Flux_155_MHz [Jy]	Flux_155.2_MHz [Jy]	Flux_155.4_MHz [Jy]	Flux_155.6_MHz [Jy]	Flux_155.8_MHz [Jy]	Flux_156_MHz [Jy]	Flux_156.2_MHz [Jy]	Flux_156.4_MHz [Jy]	Flux_156.6_MHz [Jy]	Flux_156.8_MHz [Jy]	Flux_157_MHz [Jy]	Flux_157.2_MHz [Jy]	Flux_157.4_MHz [Jy]	Flux_157.6_MHz [Jy]	Flux_157.8_MHz [Jy]	Flux_158_MHz [Jy]	Flux_158.2_MHz [Jy]	Flux_158.4_MHz [Jy]	Flux_158.6_MHz [Jy]	Flux_158.8_MHz [Jy]	Flux_159_MHz [Jy]	Flux_159.2_MHz [Jy]	Flux_159.4_MHz [Jy]	Flux_159.6_MHz [Jy]	Flux_159.8_MHz [Jy]
mock0	122.42584810	-2.76322302	0.01473427	0.01468519	0.01463634	0.01458772	0.01453932	0.01449116	0.01444323	0.01439552	0.01434804	0.01430078	0.01425374	0.01420692	0.01416032	0.01411394	0.01406778	0.01402183	0.01397610	0.01393058	0.01388527	0.01384017	0.01379527	0.01375059	0.01370611	0.01366184	0.01361777	0.01357391	0.01353024	0.01348678	0.01344351	0.01340045	0.01335758	0.01331490	0.01327242	0.01323013	0.01318804	0.01314614	0.01310442	0.01306290	0.01302156	0.01298041	0.01293944	0.01289866	0.01285806	0.01281765	0.01277741	0.01273736	0.01269748	0.01265778	0.01261826	0.01257892	0.01253975	0.01250075	0.01246193	0.01242328	0.01238480	0.01234649	0.01230835	0.01227037	0.01223257	0.01219493	0.01215745	0.01212014	0.01208299	0.01204601	0.01200919	0.01197252	0.01193602	0.01189967	0.01186349	0.01182746	0.01179158	0.01175586	0.01172030	0.01168489	0.01164963	0.01161452	0.01157957	0.01154476	0.01151010	0.01147559	0.01144123	0.01140702	0.01137295	0.01133903	0.01130525	0.01127161	0.01123812	0.01120477	0.01117156	0.01113849	0.01110556	0.01107277	0.01104012	0.01100760	0.01097522	0.01094298	0.01091087	0.01087890	0.01084706	0.01081535
mock1	99.20687569	-3.69375927	1.63134312	1.62630532	1.62129023	1.61629771	1.61132763	1.60637985	1.60145425	1.59655069	1.59166904	1.58680918	1.58197098	1.57715430	1.57235903	1.56758504	1.56283220	1.55810040	1.55338951	1.54869940	1.54402996	1.53938108	1.53475262	1.53014447	1.52555651	1.52098864	1.51644072	1.51191266	1.50740433	1.50291562	1.49844641	1.49399661	1.48956609	1.48515475	1.48076248	1.47638917	1.47203471	1.46769899	1.46338192	1.45908338	1.45480326	1.45054148	1.44629791	1.44207247	1.43786504	1.43367553	1.42950384	1.42534987	1.42121351	1.41709468	1.41299327	1.40890918	1.40484233	1.40079261	1.39675993	1.39274419	1.38874531	1.38476319	1.38079773	1.37684885	1.37291645	1.36900044	1.36510074	1.36121725	1.35734989	1.35349857	1.34966320	1.34584369	1.34203996	1.33825192	1.33447948	1.33072257	1.32698110	1.32325498	1.31954414	1.31584848	1.31216794	1.30850242	1.30485184	1.30121614	1.29759522	1.29398901	1.29039742	1.28682039	1.28325783	1.27970967	1.27617583	1.27265623	1.26915081	1.26565947	1.26218216	1.25871879	1.25526930	1.25183360	1.24841163	1.24500331	1.24160858	1.23822736	1.23485958	1.23150517	1.22816406	1.22483618
mock2	125.09171285	10.69148882	2.09652188	2.09268358	2.08885775	2.08504435	2.08124332	2.07745460	2.07367813	2.06991385	2.06616172	2.06242167	2.05869364	2.05497759	2.05127345	2.04758118	2.04390071	2.04023200	2.03657498	2.03292961	2.02929583	2.02567359	2.02206284	2.01846352	2.01487558	2.01129898	2.00773365	2.00417955	2.00063663	1.99710483	1.99358412	1.99007443	1.98657571	1.98308793	1.97961102	1.97614494	1.97268965	1.96924508	1.96581121	1.96238797	1.95897532	1.95557322	1.95218161	1.94880045	1.94542970	1.94206931	1.93871923	1.93537941	1.93204982	1.92873040	1.92542112	1.92212193	1.91883277	1.91555362	1.91228443	1.90902514	1.90577573	1.90253614	1.89930634	1.89608628	1.89287592	1.88967521	1.88648412	1.88330261	1.88013063	1.87696814	1.87381510	1.87067147	1.86753721	1.86441228	1.86129665	1.85819026	1.85509308	1.85200508	1.84892621	1.84585643	1.84279571	1.83974401	1.83670128	1.83366750	1.83064262	1.82762660	1.82461942	1.82162102	1.81863138	1.81565046	1.81267822	1.80971463	1.80675964	1.80381322	1.80087535	1.79794597	1.79502506	1.79211259	1.78920851	1.78631279	1.78342539	1.78054629	1.77767545	1.77481284	1.77195841	1.76911214
mock3	52.85323408	73.83528350	0.09179771	0.09154004	0.09128345	0.09102795	0.09077353	0.09052018	0.09026789	0.09001667	0.08976649	0.08951736	0.08926928	0.08902222	0.08877620	0.08853120	0.08828722	0.08804425	0.08780229	0.08756133	0.08732137	0.08708240	0.08684441	0.08660740	0.08637136	0.08613629	0.08590219	0.08566904	0.08543685	0.08520561	0.08497530	0.08474594	0.08451750	0.08429000	0.08406341	0.08383775	0.08361299	0.08338914	0.08316620	0.08294415	0.08272300	0.08250273	0.08228335	0.08206484	0.08184721	0.08163045	0.08141455	0.08119951	0.08098533	0.08077200	0.08055951	0.08034787	0.08013706	0.07992709	0.07971794	0.07950962	0.07930212	0.07909544	0.07888956	0.07868449	0.07848023	0.07827676	0.07807409	0.07787221	0.07767111	0.07747080	0.07727126	0.07707250	0.07687451	0.07667728	0.07648082	0.07628511	0.07609016	0.07589596	0.07570250	0.07550979	0.07531782	0.07512658	0.07493607	0.07474629	0.07455723	0.07436890	0.07418128	0.07399437	0.07380817	0.07362268	0.07343789	0.07325380	0.07307040	0.07288770	0.07270568	0.07252435	0.07234369	0.07216372	0.07198442	0.07180579	0.07162783	0.07145053	0.07127390	0.07109792	0.07092259	0.07074792
mock4	120.42573106	7.74504740	2.86926039	2.86220126	2.85516951	2.84816502	2.84118763	2.83423720	2.82731358	2.82041665	2.81354625	2.80670225	2.79988451	2.79309289	2.78632726	2.77958747	2.77287340	2.76618491	2.75952187	2.75288415	2.74627160	2.73968412	2.73312155	2.72658378	2.72007068	2.71358212	2.70711797	2.70067812	2.69426242	2.68787077	2.68150304	2.67515910	2.66883883	2.66254212	2.65626884	2.65001888	2.64379211	2.63758842	2.63140769	2.62524981	2.61911466	2.61300213	2.60691210	2.60084445	2.59479909	2.58877589	2.58277474	2.57679554	2.57083818	2.56490254	2.55898851	2.55309600	2.54722489	2.54137508	2.53554645	2.52973892	2.52395237	2.51818670	2.51244180	2.50671758	2.50101393	2.49533076	2.48966795	2.48402542	2.47840306	2.47280077	2.46721846	2.46165603	2.45611338	2.45059042	2.44508705	2.43960317	2.43413870	2.42869354	2.42326759	2.41786076	2.41247296	2.40710411	2.40175410	2.39642285	2.39111026	2.38581626	2.38054074	2.37528363	2.37004483	2.36482426	2.35962183	2.35443746	2.34927105	2.34412253	2.33899180	2.33387880	2.32878342	2.32370560	2.31864524	2.31360226	2.30857659	2.30356814	2.29857683	2.29360258	2.28864531	2.28370495
mock5	50.62300762	-1.81936924	0.21389882	0.21316320	0.21243115	0.21170265	0.21097768	0.21025621	0.20953823	0.20882372	0.20811264	0.20740499	0.20670073	0.20599985	0.20530233	0.20460814	0.20391727	0.20322969	0.20254539	0.20186434	0.20118652	0.20051192	0.19984052	0.19917229	0.19850722	0.19784528	0.19718646	0.19653074	0.19587810	0.19522852	0.19458198	0.19393847	0.19329796	0.19266045	0.19202590	0.19139430	0.19076564	0.19013989	0.18951704	0.18889708	0.18827998	0.18766573	0.18705430	0.18644570	0.18583988	0.18523685	0.18463658	0.18403906	0.18344428	0.18285220	0.18226283	0.18167614	0.18109211	0.18051074	0.17993201	0.17935589	0.17878238	0.17821147	0.17764312	0.17707734	0.17651410	0.17595339	0.17539520	0.17483951	0.17428631	0.17373558	0.17318731	0.17264148	0.17209808	0.17155710	0.17101851	0.17048232	0.16994850	0.16941705	0.16888794	0.16836116	0.16783671	0.16731456	0.16679471	0.16627714	0.16576184	0.16524880	0.16473799	0.16422942	0.16372307	0.16321892	0.16271696	0.16221719	0.16171958	0.16122413	0.16073082	0.16023965	0.15975059	0.15926364	0.15877880	0.15829603	0.15781534	0.15733671	0.15686013	0.15638559	0.15591308	0.15544259
mock6	88.93016553	-18.36842720	7.78846087	7.76921388	7.75004179	7.73094420	7.71192071	7.69297094	7.67409450	7.65529099	7.63656004	7.61790126	7.59931427	7.58079869	7.56235416	7.54398029	7.52567673	7.50744310	7.48927904	7.47118418	7.45315817	7.43520065	7.41731127	7.39948967	7.38173550	7.36404841	7.34642806	7.32887411	7.31138621	7.29396402	7.27660722	7.25931545	7.24208840	7.22492572	7.20782710	7.19079220	7.17382071	7.15691229	7.14006664	7.12328343	7.10656234	7.08990307	7.07330530	7.05676872	7.04029303	7.02387791	7.00752307	6.99122820	6.97499300	6.95881718	6.94270043	6.92664247	6.91064301	6.89470174	6.87881838	6.86299265	6.84722426	6.83151293	6.81585837	6.80026031	6.78471846	6.76923255	6.75380231	6.73842747	6.72310774	6.70784287	6.69263258	6.67747661	6.66237469	6.64732656	6.63233197	6.61739064	6.60250232	6.58766676	6.57288370	6.55815288	6.54347406	6.52884698	6.51427140	6.49974706	6.48527373	6.47085115	6.45647909	6.44215731	6.42788555	6.41366360	6.39949120	6.38536812	6.37129413	6.35726900	6.34329249	6.32936438	6.31548443	6.30165243	6.28786813	6.27413132	6.26044178	6.24679928	6.23320361	6.21965453	6.20615185	6.19269533
mock7	140.27564457	32.97791066	0.00111488	0.00111091	0.00110695	0.00110302	0.00109910	0.00109520	0.00109133	0.00108747	0.00108363	0.00107981	0.00107601	0.00107223	0.00106846	0.00106472	0.00106099	0.00105728	0.00105359	0.00104992	0.00104626	0.00104263	0.00103901	0.00103541	0.00103182	0.00102826	0.00102471	0.00102117	0.00101766	0.00101416	0.00101068	0.00100721	0.00100376	0.00100033	0.00099692	0.00099352	0.00099013	0.00098677	0.00098342	0.00098008	0.00097676	0.00097346	0.00097017	0.00096690	0.00096364	0.00096040	0.00095717	0.00095396	0.00095077	0.00094759	0.00094442	0.00094127	0.00093813	0.00093501	0.00093190	0.00092881	0.00092573	0.00092266	0.00091961	0.00091658	0.00091356	0.00091055	0.00090755	0.00090457	0.00090160	0.00089865	0.00089571	0.00089278	0.00088987	0.00088697	0.00088409	0.00088121	0.00087835	0.00087550	0.00087267	0.00086985	0.00086704	0.00086424	0.00086146	0.00085869	0.00085593	0.00085318	0.00085045	0.00084773	0.00084502	0.00084232	0.00083963	0.00083696	0.00083430	0.00083165	0.00082901	0.00082639	0.00082377	0.00082117	0.00081858	0.00081600	0.00081343	0.00081087	0.00080832	0.00080579	0.00080326	0.00080075
mock8	41.87588421	26.07273943	9.34565143	9.32468541	9.30379621	9.28298344	9.26224672	9.24158565	9.22099986	9.20048897	9.18005259	9.15969036	9.13940190	9.11918683	9.09904480	9.07897543	9.05897836	9.03905323	9.01919968	8.99941736	8.97970590	8.96006497	8.94049420	8.92099326	8.90156179	8.88219945	8.86290590	8.84368081	8.82452383	8.80543463	8.78641288	8.76745825	8.74857040	8.72974902	8.71099378	8.69230435	8.67368042	8.65512167	8.63662778	8.61819844	8.59983333	8.58153214	8.56329457	8.54512031	8.52700906	8.50896050	8.49097435	8.47305029	8.45518804	8.43738730	8.41964778	8.40196917	8.38435120	8.36679357	8.34929600	8.33185821	8.31447990	8.29716080	8.27990063	8.26269910	8.24555596	8.22847091	8.21144368	8.19447402	8.17756163	8.16070627	8.14390765	8.12716552	8.11047961	8.09384966	8.07727541	8.06075660	8.04429297	8.02788428	8.01153025	7.99523065	7.97898522	7.96279370	7.94665587	7.93057145	7.91454022	7.89856192	7.88263632	7.86676317	7.85094223	7.83517327	7.81945604	7.80379032	7.78817587	7.77261245	7.75709984	7.74163781	7.72622612	7.71086455	7.69555287	7.68029086	7.66507829	7.64991495	7.63480061	7.61973505	7.60471806	7.58974941
mock9	139.92371957	30.24056507	0.00439798	0.00438667	0.00437542	0.00436420	0.00435304	0.00434191	0.00433083	0.00431980	0.00430881	0.00429786	0.00428695	0.00427609	0.00426527	0.00425449	0.00424376	0.00423306	0.00422241	0.00421180	0.00420124	0.00419071	0.00418022	0.00416978	0.00415937	0.00414901	0.00413869	0.00412840	0.00411816	0.00410795	0.00409779	0.00408766	0.00407757	0.00406752	0.00405751	0.00404754	0.00403760	0.00402771	0.00401785	0.00400803	0.00399824	0.00398849	0.00397878	0.00396911	0.00395947	0.00394987	0.00394031	0.00393078	0.00392129	0.00391183	0.00390241	0.00389302	0.00388367	0.00387435	0.00386507	0.00385582	0.00384661	0.00383743	0.00382829	0.00381918	0.00381010	0.00380105	0.00379204	0.00378307	0.00377412	0.00376521	0.00375633	0.00374749	0.00373867	0.00372989	0.00372114	0.00371242	0.00370374	0.00369508	0.00368646	0.00367787	0.00366930	0.00366077	0.00365228	0.00364381	0.00363537	0.00362696	0.00361858	0.00361024	0.00360192	0.00359363	0.00358537	0.00357714	0.00356894	0.00356077	0.00355263	0.00354452	0.00353644	0.00352838	0.00352036	0.00351236	0.00350439	0.00349645	0.00348853	0.00348065	0.00347279	0.00346496
